,DataFrame,Pollutant,MAE,RMSE,MAPE,R-squared
0,Borno,Pm2.5,40.70011616026751,49.26719366982636,95.88928610036221,0.3549239184714247
1,Borno,Pm10,0.7320486372827715,0.9297495386218945,39.16815115079038,0.24853156591585213
2,Borno,So2,4.4477230542670304e-11,5.727245485167858e-11,22.00635799743793,0.17497365203457127
3,Borno,Co2,5.233072080556208e-07,6.349754206966989e-07,0.1270680765692072,0.9533131588137826
4,Borno,Co,1.6023563388640453e-08,1.9903516725856455e-08,9.610806611428423,0.10289143090412323
5,Borno,So4,1.5316029494451623e-10,1.9561343390485424e-10,27.20272829388964,0.35696127722359505
6,Kaduna,Pm2.5,29.368957929311946,36.42122351007374,108.24737220783807,0.30256037102760946
7,Kaduna,Pm10,0.8328433075709053,1.029591445685438,57.578014024005675,0.23409468910385267
8,Kaduna,So2,1.0809296830111695e-10,1.284172068266079e-10,20.012590352367283,0.2476556466947778
9,Kaduna,Co2,5.421591526982356e-07,7.225867270095056e-07,0.1319855692267165,0.9436170133404044
10,Kaduna,Co,1.7848127348217746e-08,2.2116508963964424e-08,10.148164483604786,0.14592260982385108
11,Kaduna,So4,1.4863152846628785e-10,1.8781567616181435e-10,23.941461090028447,0.2861564978836906
12,Kogi,Pm2.5,28.60545020598959,34.54894486153647,238.07697167923348,0.3096545857658649
13,Kogi,Pm10,1.0413115780108992,1.2939819201113951,101.20398084797773,0.2366844281090843
14,Kogi,Co2,5.960136167740108e-07,8.113595815051089e-07,0.14504390484732013,0.9330326212854249
15,Kogi,Co,2.025352043113639e-08,2.479173740624994e-08,10.994625743335957,0.15875748360389652
16,Nassarawa,Pm2.5,28.186990766509826,34.54230336836499,178.67665785854956,0.29011431200623083
17,Nassarawa,Pm10,1.003790292071085,1.2420992921314982,84.45326291967335,0.23136879015782796
18,Nassarawa,So2,1.2811718616991418e-10,1.743227382315701e-10,35.20462497748793,0.26217827052114184
19,Nassarawa,Co2,4.979729330684154e-07,6.513418855594075e-07,0.12124103891668464,0.9534128151089247
20,Nassarawa,Co,2.0696998252889084e-08,2.5477485666088184e-08,11.33101446674894,0.18156027315187184
21,Nassarawa,So4,7.889249340772668e-11,1.0413872593730165e-10,14.54173216652398,0.18537169084178828
22,Sokoto,Pm2.5,32.0715430462854,38.82825002101883,81.88261429708281,0.31640719324277333
23,Sokoto,Pm10,0.7683139768038081,1.0042658762468022,35.86785550456539,0.27459536395420003
24,Sokoto,So2,4.714858448057175e-11,5.796899505856092e-11,16.17857096118149,0.19737459587355843
25,Sokoto,Co2,5.340878843941554e-07,6.833540472204292e-07,0.12964500372899995,0.948894905733228
26,Sokoto,Co,1.398327957644642e-08,1.7273576713450713e-08,8.620565876861509,0.10994266685196419
27,Sokoto,So4,1.1388172351733861e-10,1.4520589371439137e-10,22.827251809445215,0.3179868315562373
28,Gombe,Pm2.5,31.037575203768952,38.13437200591656,113.88247528410717,0.33028345335799836
29,Gombe,Pm10,0.8575011702369527,1.05741717109658,53.48944264987442,0.23696150974789842
30,Gombe,So2,5.440999429278012e-11,6.688754952177302e-11,22.25024746336386,0.2076567364539198
31,Gombe,Co2,6.849480092035219e-07,8.83107460975469e-07,0.1664430071047334,0.9199314987349807
32,Gombe,Co,1.6428760737706495e-08,2.0540969586976447e-08,9.609767802257245,0.10547265696000385
33,Gombe,So4,1.1907223314261997e-10,1.5557474566259445e-10,22.144311526482806,0.3172558670568747
34,Adamawa,Pm2.5,23.62143717537664,28.403159417967316,99.10205385801515,0.3424101143664038
35,Adamawa,So2,9.792230468663905e-11,1.1955532580239136e-10,36.73913588638326,0.28724753062038566
36,Adamawa,Co2,5.811135668911372e-07,7.25301782372318e-07,0.14114725310966453,0.9471154468201293
37,Adamawa,Co,1.8911783763348274e-08,2.3210696638973367e-08,10.86373222334338,0.13419478452435085
38,Adamawa,So4,1.137900725521353e-10,1.4570545165033237e-10,21.154980842611604,0.3194185993513575
39,Bauchi,Pm2.5,33.03874994180249,40.69144283689075,102.77194930692555,0.32347024479668707
40,Bauchi,Pm10,0.8645276205668139,1.0632771754084396,50.811401008843106,0.231686965122461
41,Bauchi,So2,4.497517686456976e-11,5.3636788652689656e-11,18.013277041724894,0.22128497168040528
42,Bauchi,Co2,6.272300584548658e-07,8.263548302202364e-07,0.15235432242445585,0.929632513400227
43,Bauchi,Co,1.5921658644213858e-08,1.9869297749999833e-08,9.359951755908437,0.11017872593478306
44,Bauchi,So4,1.2931011632219332e-10,1.671393362629045e-10,23.722598416238444,0.3306969231633474
45,Niger,Pm2.5,31.38516077360296,38.44582884771689,129.2840922386987,0.29097776202726955
46,Niger,Pm10,1.0221631848529746,1.2752390412748775,66.58883232711533,0.23916188024356821
47,Niger,So2,1.8233590397622874e-10,2.3578026563814795e-10,64.90502299413599,0.3155058323355705
48,Niger,Co2,5.524727216561534e-07,6.760469975996566e-07,0.13449766558549386,0.9519671511114022
49,Niger,Co,1.7409036817452895e-08,2.1592229359590794e-08,9.82949276073249,0.16311002166983468
50,Niger,So4,8.420299486881608e-11,1.1070060852394485e-10,14.812156531169965,0.2789111411314964
51,Taraba,Pm2.5,24.768628924148594,30.39870802415173,163.13490245451834,0.2994360533724877
52,Taraba,Pm10,0.9442472004750476,1.1791434349154701,86.41572038851831,0.24501096458842186
53,Taraba,Co2,5.528508354271507e-07,7.221985473599749e-07,0.13459201487152472,0.9478723492540704
54,Taraba,Co,2.328121283471273e-08,2.8727899056904188e-08,12.618868717415117,0.15482949543584368
55,Benue,Pm2.5,30.380616656589464,36.88992602700769,293.38843557466834,0.3017725510334508
56,Benue,Pm10,1.0851544837260723,1.3393377776514548,115.88870467866974,0.24136833599717622
57,Benue,Co2,5.590523848903587e-07,7.539376777368042e-07,0.1361309434336446,0.9395190019613835
58,Benue,Co,2.1121746851990407e-08,2.5560347142094343e-08,11.449551670797938,0.13628481672653758
59,Kwara,Pm2.5,29.97010163287828,36.330633617283375,168.9209505587397,0.2921199903878309
60,Kwara,Pm10,1.0366156212621602,1.2877489664138464,79.89201803159186,0.2476192753672788
61,Kwara,So2,1.6978474041117665e-10,2.23586674852528e-10,51.97728348998396,0.2756119457361823
62,Kwara,Co2,6.985768641991156e-07,8.808998493340269e-07,0.16999448498964875,0.9208903515385983
63,Kwara,Co,1.758640735967005e-08,2.199483225920798e-08,9.769281738366063,0.17896361989204335
64,Kwara,So4,7.56133935901739e-11,1.0136211017398661e-10,11.510667780864054,0.2669028078687633
65,Plateau,Pm2.5,28.535065158476634,35.362233837878165,135.00373698589974,0.30866776686060016
66,Plateau,Pm10,0.8500432334276904,1.047513557994018,67.35767379779148,0.23013417561056204
67,Plateau,So2,7.494168241064082e-11,9.11312778900262e-11,29.10135644380547,0.25923289822718243
68,Plateau,Co2,6.100031350718684e-07,7.907784206515235e-07,0.14845893593390963,0.9338187966887934
69,Plateau,Co,1.8121915844307838e-08,2.236473895887207e-08,10.211507450532942,0.1319067749253402
70,Plateau,So4,1.0152306859728242e-10,1.30886528582424e-10,18.14763188856473,0.2847298087918205
71,Jigawa,Pm2.5,37.85551628479596,46.29403328239853,88.49420324273916,0.3376451972729383
72,Jigawa,Pm10,0.8549015043661454,1.0903759829795534,40.29245486738597,0.25110749741424676
73,Jigawa,So2,4.15796353597301e-11,5.096902679945633e-11,12.13868499994309,0.36371751139096364
74,Jigawa,Co2,6.282641213259567e-07,8.221870355293056e-07,0.1524250282637265,0.9286062436663519
75,Jigawa,Co,1.49748806375395e-08,1.864150317444143e-08,9.07548227541812,0.11671487121299629
76,Jigawa,So4,1.511621083813018e-10,1.923729136995175e-10,26.860483490017558,0.33899810598125335
77,Yobe,Pm2.5,45.98223454668124,55.58474624995258,102.32643612387191,0.3465241221232246
78,Yobe,Pm10,0.7729578584276757,0.9605149214136687,37.42970945980788,0.24404858270454033
79,Yobe,So2,2.5226412177667425e-11,3.1848394006452534e-11,16.43726603715845,0.2320416525167337
80,Yobe,Co2,5.191883417648657e-07,6.70021480912421e-07,0.12591966903634516,0.9520135606530932
81,Yobe,Co,1.551345351361764e-08,1.8984548410108418e-08,9.469327913197526,0.0889317362358395
82,Yobe,So4,1.4945293973961797e-10,1.8838495153159687e-10,27.08163517402423,0.33220192654764635
83,Katsina,Pm2.5,34.17629941184663,41.94629878967991,87.3550166025395,0.31655553944087
84,Katsina,Pm10,0.7986111946784581,1.0458700213200076,39.65528570715948,0.2615234139151088
85,Katsina,So2,5.878981624870119e-11,7.457576384948778e-11,15.488787442748253,0.19274322284624623
86,Katsina,Co2,6.925163384467892e-07,9.072725123511401e-07,0.16807617387034807,0.9123177744352735
87,Katsina,Co,1.4783910169285104e-08,1.829912624957843e-08,8.925548480352468,0.1184799390930511
88,Katsina,So4,1.3869408755118924e-10,1.7818511639607362e-10,24.967501796360303,0.33538623423784464
89,Kano,Pm2.5,34.21945131685345,42.122564691087575,90.33997688723038,0.3216510617330902
90,Kano,Pm10,0.8646900995078514,1.106188462962757,44.87193647832638,0.24739013368853746
91,Kano,So2,4.916051422583366e-11,6.444595414567562e-11,9.611216324606074,0.2202867899945289
92,Kano,Co2,7.314351927159185e-07,9.599931086996237e-07,0.17760009843775426,0.9053667749102233
93,Kano,Co,1.4930505793219946e-08,1.869751045734121e-08,8.901575006239087,0.15290029846614528
94,Kano,So4,1.5294600145916401e-10,1.923663625384524e-10,26.106667162266262,0.3314853933627604
95,FCT,Pm2.5,28.512118827073785,34.59527974382252,155.8256269000678,0.2846481712608986
96,FCT,So2,1.4050561389804942e-10,1.9228658350992887e-10,43.77317239575839,0.27840212473240156
97,FCT,Co2,4.7203616003698017e-07,6.077786957052854e-07,0.11493166594218954,0.9593659538010908
98,FCT,Co,2.0449925772159907e-08,2.512691712664298e-08,11.206404798187087,0.1805321931586511
99,FCT,So4,8.134433300131943e-11,1.0883797272609938e-10,14.246991975449655,0.21219065553266214
100,Zamfara,Pm2.5,30.868051805818823,38.61772874424834,86.63325779115549,0.30019392316180693
101,Zamfara,Pm10,0.8366771723512935,1.1016907618496676,42.7428430846976,0.25593338553329736
102,Zamfara,So2,8.657156532251503e-11,1.011002831302097e-10,38.855232418038845,0.27565983094014557
103,Zamfara,Co2,5.956891314434222e-07,8.084277781921002e-07,0.14471930022176943,0.9273317542225984
104,Zamfara,Co,1.4893982424835757e-08,1.8483348399327217e-08,8.908531996260887,0.1169760657953629
105,Zamfara,So4,1.189929913944132e-10,1.5298979219411253e-10,22.51457549758367,0.3117949881208496
